"Genus","Species","newGenus","newSpecies"
"Lactobacillus","amylovorus","Lactobacillus","amylovorus"
"Lactobacillus","brevis","Levilactobacillus","brevis"
"Lactobacillus","curieae","Lentilactobacillus","curieae"
"Lactobacillus","curvatus","Latilactobacillus","curvatus"
"Lactobacillus","delbrueckii","Lactobacillus","delbrueckii"
"Lactobacillus","equicursoris","Lactobacillus","equicursoris"
"Lactobacillus","fabifermentans","Lactiplantibacillus","fabifermentans"
"Lactobacillus","fermentum","Limosilactobacillus","fermentum"
"Lactobacillus","gasseri","Lactobacillus","gasseri"
"Lactobacillus","graminis","Latilactobacillus","graminis"
"Lactobacillus","hominis","Lactobacillus","hominis"
"Lactobacillus","johnsonii","Lactobacillus","johnsonii"
"Lactobacillus","mucosae","Limosilactobacillus","mucosae"
"Lactobacillus","murinus","Ligilactobacillus","murinus"
"Lactobacillus","plantarum","Lactiplantibacillus","plantarum"
"Lactobacillus","reuteri","Limosilactobacillus","reuteri"
"Lactobacillus","sakei","Latilactobacillus","sakei"
"Lactobacillus","salivarius","Ligilactobacillus","salivarius"
"Lactobacillus","saniviri","Lacticaseibacillus","saniviri"
"Lactobacillus","senioris","Lentilactobacillus","senioris"